board_state,mcts_prob,z_value
"[[0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0], [0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1], [-1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1], [0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1]]","[[0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304], [0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0], [0.030303030303030304, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0], [0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304], [0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0, 0.0, 0.030303030303030304, 0.0], [0.0, 0.0, 0.030303030303030304, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0, 0.030303030303030304, 0.0, 0.0, 0.030303030303030304, 0.0], [0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.0], [0.030303030303030304, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",-1
"[[0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1], [0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0], [0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1], [1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0], [-1, 0, -1, 0, 0, 0, 0, -1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0, 0, 0, -1], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]]","[[0.02857142857142857, 0.02857142857142857, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0], [0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0], [0.02857142857142857, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.02857142857142857, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.02857142857142857, 0.02857142857142857, 0.0, 0.0, 0.0, 0.02857142857142857], [0.0, 0.02857142857142857, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.02857142857142857, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.02857142857142857, 0.0, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.0], [0.0, 0.02857142857142857, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857], [0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0], [0.02857142857142857, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0]]",1
"[[0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0], [0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1], [-1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1], [0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1]]","[[0.0, 0.027777777777777776, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.027777777777777776, 0.027777777777777776, 0.0], [0.027777777777777776, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0], [0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.027777777777777776, 0.0, 0.027777777777777776], [0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.027777777777777776, 0.0, 0.027777777777777776, 0.027777777777777776, 0.0], [0.0, 0.0, 0.027777777777777776, 0.0, 0.027777777777777776, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0], [0.0, 0.027777777777777776, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.027777777777777776, 0.027777777777777776, 0.0, 0.027777777777777776, 0.0], [0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776], [0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.027777777777777776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0], [0.0, 0.0, 0.027777777777777776, 0.027777777777777776, 0.0, 0.0, 0.0, 0.027777777777777776, 0.027777777777777776, 0.0, 0.0]]",-1
"[[0, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1], [0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0], [0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1], [1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0], [-1, 0, -1, 0, 0, 0, 0, -1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0, 0, 0, -1], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703], [0.02702702702702703, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [0.02702702702702703, 0.0, 0.02702702702702703, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0], [0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0], [0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0], [0.02702702702702703, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703], [0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703], [0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1
"[[0, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0], [0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1], [-1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1], [0, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1]]","[[0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0], [0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0], [0.02631578947368421, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0], [0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421], [0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0], [0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421], [0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0], [0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0]]",-1
"[[-1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1], [0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0], [0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1], [1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0], [-1, 0, -1, 0, 0, 0, 0, -1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0, 0, 0, -1], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.02702702702702703, 0.0, 0.02702702702702703], [0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703], [0.0, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703, 0.0], [0.0, 0.0, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0], [0.0, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02702702702702703, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.0, 0.02702702702702703, 0.02702702702702703, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703, 0.0]]",1
"[[1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0], [0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1], [-1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1], [0, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.02631578947368421], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0], [0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0], [0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0], [0.0, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421], [0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421], [0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421], [0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0]]",-1
"[[-1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, -1, 0, 0, -1], [0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0], [0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1], [1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0], [-1, 0, -1, 0, 0, 0, 0, -1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0, 0, 0, -1], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.0, 0.0], [0.02564102564102564, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0, 0.02564102564102564, 0.0, 0.0, 0.02564102564102564, 0.0], [0.02564102564102564, 0.0, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0, 0.0, 0.02564102564102564, 0.0, 0.0], [0.02564102564102564, 0.0, 0.0, 0.02564102564102564, 0.02564102564102564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02564102564102564, 0.0, 0.0, 0.02564102564102564, 0.0, 0.0, 0.02564102564102564, 0.02564102564102564, 0.0, 0.0, 0.0], [0.0, 0.02564102564102564, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0], [0.02564102564102564, 0.0, 0.0, 0.0, 0.0, 0.02564102564102564, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.0, 0.0, 0.02564102564102564], [0.0, 0.02564102564102564, 0.0, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02564102564102564], [0.0, 0.0, 0.0, 0.0, 0.0, 0.02564102564102564, 0.02564102564102564, 0.0, 0.02564102564102564, 0.02564102564102564, 0.0], [0.0, 0.0, 0.02564102564102564, 0.0, 0.02564102564102564, 0.02564102564102564, 0.0, 0.0, 0.02564102564102564, 0.02564102564102564, 0.0]]",1
"[[1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0], [0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1], [-1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1], [0, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1]]","[[0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421], [0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0], [0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421], [0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0], [0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0], [0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421], [0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421], [0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0]]",-1
"[[-1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0, -1, 0, 0, -1], [0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0], [0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1], [1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0], [-1, 0, -1, -1, 0, 0, 0, -1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0, 0, 0, -1], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]]","[[0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0], [0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0], [0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0], [0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.0, 0.02631578947368421], [0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0], [0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421], [0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0], [0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0]]",1
"[[1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0], [0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1], [-1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 1, -1, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1], [0, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1]]","[[0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0], [0.024390243902439025, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.0, 0.0, 0.024390243902439025], [0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.024390243902439025, 0.0], [0.0, 0.024390243902439025, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, 0.024390243902439025, 0.0], [0.024390243902439025, 0.024390243902439025, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.0], [0.024390243902439025, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0], [0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.0, 0.0, 0.024390243902439025], [0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.024390243902439025], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.024390243902439025, 0.0], [0.0, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.0, 0.0]]",-1
"[[-1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0, -1, 0, 0, -1], [0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0], [0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1], [1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0], [-1, 0, -1, -1, 0, 0, 0, -1, 1, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0, 0, 0, -1], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]]","[[0.0, 0.0, 0.0, 0.0, 0.025, 0.025, 0.025, 0.0, 0.0, 0.0, 0.025], [0.0, 0.025, 0.0, 0.025, 0.0, 0.025, 0.0, 0.025, 0.0, 0.025, 0.0], [0.0, 0.0, 0.0, 0.025, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0], [0.025, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.025, 0.025, 0.025, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0], [0.025, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.025, 0.0, 0.0, 0.025], [0.0, 0.0, 0.025, 0.0, 0.025, 0.025, 0.0, 0.0, 0.025, 0.0, 0.0], [0.0, 0.0, 0.025, 0.0, 0.0, 0.025, 0.0, 0.025, 0.025, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.025, 0.0, 0.025, 0.0, 0.0, 0.025, 0.025], [0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.025, 0.0, 0.0, 0.0], [0.025, 0.0, 0.0, 0.0, 0.025, 0.025, 0.0, 0.025, 0.0, 0.0, 0.0]]",1
